Title_name,Title_User,Title_Review,Title_Date,Title_Stars,Title_Hepful,
Where it all began.,lee_eisenberg,"With the sixth book now out (and one more to go), I feel that I should review ""Harry Potter and the Sorcerer's Stone"". By now, the Harry Potter books have become so well entrenched in our culture that I don't even need to explain the story. But I can say that director Chris Columbus did a great job adapting the book to the silver screen.
The cast does very well with the roles: newcomer Daniel Radcliffe plays Harry Potter, making him strong-willed but vulnerable. Rupert Grint and Emma Watson play his friends, the uptight Ron Weasley and the no-nonsense Hermione Granger. The Hogwarts staff is played by a who's-who of British actors: Richard Harris as headmaster Albus Dumbledore, Maggie Smith as anthropomorphic Prof. Minerva McGonagall (and one can detect a hint of Miss Jean Brodie there), Alan Rickman as unctuous Prof. Severus Snape, and Robbie Coltrane as gamekeeper Rubeus Hagrid. Others include Zoe Wanamaker as Quidditch teacher Madame Hooch, Julie Walters as Molly Weasley (Ron's mum), Richard Griffiths as Vernon Dursley (Harry's mean uncle) and even John Cleese as Nearly-Headless-Nick, one of the school ghosts.
All in all, this is a movie for the ages. I know that religious fundamentalists will claim that the Harry Potter books are promoting witchcraft, but are we really going to believe those kinds of people, considering that they claimed the same things about ""Bewitched""? Harry Potter will live forever - something that no Muggle can do.",5 October 2005,10,,
Off to a Successful Start,gavin6942,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry.
This is the film that started it all, and was, of course, a huge success. One might wonder what would happen if you had seven movies to make and the first one already flopped or was poorly done. But this did not happen. The crew was perfect, with a master of family films (Chris Columbus) at the helm. The casting could have been tricky, since they had to get children to act well on screen and then make sure they could keep them for a decade. Daniel Radcliffe proved to be perfect for the part, and Emma Watson does alright, too, despite overacting at times.
The adult cast is fleshed out with plenty of solid choices, filling the void from serious, to silly to scary. Alan Rickman, who plays Snape, has a little bit of all three, and was really a crucial casting choice, and the costume department did their best to make him look like Trent Reznor. Perhaps they could have cast Reznor himself, but I suspect he does not have Rickman's range.
Of all the films in the series, this is the lightest. There is a villain, but he plays a minor role. And there are some dangerous challenges, but overall the element of fun remains. These are 11-year old children, so there needs be no rush to push them into a world of life and death. And for those who have not read the books, this is our first time meeting everyone, so introductions and character development are important.",02-May-11,7,,
Harry Potter and the Philosopher's Stone,jboothmillard,,15 March 2005,8,,
A Surprise,ccthemovieman-1,"This first Harry Potter surprised me. Not a reader of the books nor a proponent of occult beliefs, I still went into this with an open mind and found I enjoyed the movie. I watched the first three films and own the third (""Harry Potter and Prisoner Of Azkaban"").
This film offered good escapist fare with lots of interesting sets and special- effects, as all the films have done. There is very good color and sound in here, making it even more attractive with a good TV and sound system.
Daniel Radcliff was a likable hero, with his round glasses and winsome smile. You can't help but root for him. His friends, played by Rupert Gint and Emma Watson, are okay but Watson gets annoying as the know-it-all school girl. She became more likable in the subsequent Potter films. For me, the British accents in here were not always easy to understand.
The story, despite its length of two-and-a-half hours, movies pretty well as there is always something interesting to view. Once again, this movie and the sequels all excelled in this department with great visuals.",1 October 2006,8,,
First Harrry Potter entry in which he makes friends and battles mysterious evil forces,ma-cortes,"First episode also known as ¨Harry Potter and the philosopher's stone¨ deal with Harry Potter (Daniel Radcliffe)and friends fighting dark forces in an amazing adventure . In this early installment of JK Rowling saga, our protagonist is freed by Rubeus from the custody of his selfish uncle (Richard Griffiths) and miserable aunt (Fiona Lewis). Harry goes his destiny at Hogwart's school , there meets our friends Ron(Rupert Grint) ,Hermione(Emma Watson) and his enemies Braco Malfoy(Tom Felton), along the dark forces which threatens Hogwart, and finally Lord Voldemor . Besides the professors as Minerva(Maggie Smith), Severus Snape(Alan Rickman), Dumbledore ( Richard Harris), Madame Hooch (Zoe Wanamaker), Quirinus (Ian Hart)and of course Rubeus(Robbie Coltrane). Here some legendary events take place , including a Quiddich match, and Harry Potter competes in confronting in series of dangerous happenings , challenging monsters as unicorn, centaur and horrible creatures and an ending spooky climatic battle .
This episode contains loads of adventures and action and is such deeply riveting and emotional as its followings , furthermore gets lots of bombastic special effects and several images have you on the edge of your seat including an amazing array of technical bizarre creatures, a breathtaking ogre ,a three-head animal , and Potter fighting creepy , scary monsters and an exciting final taking on between Harry and the Dark Lord and his henchmen . The picture displays stimulating action set pieces illuminating the full-blown adventures , blending wizardry, witchcraft, horror, humor and is extremely amusing and pretty enjoyable. Darkest even that subsequent chapters is thrilling, dramatic, touching and very exciting. Provide enough amusement to keep the chat rooms humming until the epic ending comes out . In spite of overlong runtime, it suffers from over-length, and the difficult of adapting, the film still managing to keep a quick enough pace for those unfamiliar with the literary and highly detailed work by J. K. Rowling. The motion picture is splendidly filmed with sensational production design and colorful cinematography by John Seale . Phenomenal and spectacular music by master John Williams. The movie is magnificently directed by Chris Colombus . The film is for Harry Potter saga lovers as well as neophyte who have never read J. K. Rowling novels. The follow-up titled ¨Harry Potter and the goblet of fire¨ verse pretty much the same at the first one .",17-May-10,7,,
DVD owners please read.,TxMike,,30-May-02,0,,
"Yes, I believe it deserves all the 8, 9, and 10 votes it has gotten.",TxMike,,1 June 2002,0,,
Overrated but entertaining,Quinoa1984,"Harry Potter and the Sorcerer's Stone, based on the novel it seems every kid has read (to my surprise considering that I hated reading most books as a kid, especially ones that looked longer than 200 pages and had little or no pictures but then I'm not a kid anymore) is now a movie and while it is certainly overrated and sometimes stupid, it gives some decent moments of entertainment. It is another film that will depend on the viewer on how much he/she can take with near non-stop adventure and (impressive) visual effects. It's a wonder the film made 93 million in one weekend (isn't that a sign of biblical armageddon though), but since the film is directed a lot more at kids it's not a total surprise since the movie gets a big reccomendation in the family film department. But teens and adults might not want to walk in the theater prepared to see the greatest film since Wizard of Oz like the kids are.
A little long but never really boring, Harrpy Potter offers up a nice stew of excitement on this thanksgiving weekend with some great visuals and score (from John Williams). Yet it is not a great film. Grade: between A- and B+",19 November 2001,7,,
We're Off to See the Wizard,wes-connors,"""Harry Potter learns, on his 11th birthday, that he is the orphaned son of two powerful wizards, and possesses magical powers of his own. (Sent to) 'Hogwarts School of Witchcraft and Wizardry', Harry embarks on the adventure of a lifetime, discovering a world of magic and fantasy, where he is destined to live,"" according to the film's official synopsis. This was the first of the films bringing J.K. Rowling's beloved ""Harry Potter"" characters to motion picture life; and, it must be considered a rousing success.
Importantly, Ms. Rowling insisted on retaining much creative control, so a higher than usual amount of integrity to the material is maintained. This doesn't benefit the film in every respect; but, it certainly was, in hindsight, the only sure-fire way to introduce these adventures to cinema. One change, done for the book, was that the title would be altered from ""Harry Potter and the Philosopher's Stone"" to ""Harry Potter and the Sorcerer's Stone"" for U.S. consumption; it goes against the grain, and works perfectly. ""Sorcerer's Stone"" is shorter, provides alliteration, and better illustrates the conflict present in the story.
Initially, it wasn't obvious that the young trio playing ""Harry"", ""Ron"", and ""Hermione"" had the acting ability to go along with looking right for the leading roles; fortunately, Daniel Radcliffe, Rupert Grint, and Emma Watson would turn out to be just perfect. Richard Harris (as Albus Dumbledore) and Maggie Smith (as Minerva McGonagall) herald a stellar parade of Brits playing throughout the ""Potter"" films, with Robbie Coltrane (as Rubeus Hagrid) going to the head of this, the first class.
******** Harry Potter and the Sorcerer's Stone (11/4/01) Chris Columbus ~ Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane",1 February 2010,8,,
The magic begins,studioAT,"This first film in the Harry Potter series spends a lot of time setting up the story for the later instalments while still managing to be entertaining in its own right.
The three leads all look very meek, mild and very young but still give good performances alongside their established nearly all British elders.
The plot moves along at a quick pace and the former Home Alone director Collumbus is able to combine the magic and humour from the original novel with all the darkness and visual aids that only cinema could offer. Although the warmth can be a little cloying at times the balance is by and large good.
Overall a solid first instalment to the series and a must for anyone discovering Potter for the first time.",24 November 2010,7,0,
Hermione's Mouth,tedg,,20 November 2001,0,,
"Ahh, the magic begins.",hitchcockthelegend,"Harry Potter is an Orphan who on his eleventh birthday discovers he's a wizard and is called to term at Hogwarts School. But Harry is soon to find out that his past, and his destiny, is a truly remarkable, magical, and terrifying thing.
Harry Potter And The Philosopher's Stone arrived in a blaze of publicity, one of the most hyped and talked about motion pictures of the decade had finally arrived. The box office was guaranteed to bulge based on fandom book base alone, regardless of if the film got bad word of mouth or not, it was destined to be a monster smash hit. To someone like me who to this day has never read any of the Harry Potter books, it was easy for me to view objectively without comparison to the source - I enjoyed it immensely upon theatre release, and I still enjoy it equally as much now.
Director Christopher Columbus, I believe has wisely stayed loyal to the source material, and thus pleased the literature masses. Yet not all newcomers to the party were that taken by the magic on show, that's a little baffling to me because the budget explodes from the screen at every turn. Oliver Twist like sets form the marvellous Diagon Alley, dream like smoke cloaks the splendid Hogwarts Express, the school itself is a monolithic delight nestling in among eerie mountains - and what about the exhilarating introduction of Quidditch? Pulsating and frantic with no amount of devilment to keep us intrigued throughout.
The characters are all perfectly formed in the first two thirds of the film, here Columbus pulls off a masterstroke by interjecting the character arcs with dashes of wonder so that we the audience never gets bored. The final reel plays out solidly as per the mysterious ""who done it"" core of the piece, but it's down to the previous work in the film that we actually care come the finale. Some great casting of the adults really helps to make the film triumph, with Maggie Smith, Robbie Coltrane (one of the best casting jobs of the decade I would say), Richard Harris, Alan Rickman and Zoe Wanamaker all doing excellent work here. The kids are all newcomers that overnight were to become household names, all fresh faced and wet behind the ears, Daniel Radcliffe, Emma Watson, Rupert Grint & Tom Felton are a delight to watch, and they all help to keep the feeling of charm constantly glowing up on the screen.
Owls here, witches there, what's that strange three headed dog doing over there? The Harry Potter franchise begins with a bang and a whip of the wand, and I and gazillions of others personally love it. 8/10",14 June 2008,8,,
Bloody Brilliant ? Bloody Crap More Like,Theo Robertson,"I don`t rate JK Rowling as a writer so when the hype machine stated that HARRY POTTER AND THE PHILOSOPHER`S STONE ( As it`s called in Britain ) was going to be faithful to the book I thought this was a film that wasn`t worth seeing but I decided to give it a chance , after all I hadn`t expected much from THE FELLOWSHIP OF THE RING but I ended up falling in love with Peter Jackson`s beautiful masterpiece . But after watching THE PHILOSOPHER`S STONE my instincts had been proved right and in many ways the film had lived down to expectations .
First of all I found it highly patronizing the way it talks down to its audience in a very substandard Roald Dahl way . Secondly the film has far too many characters that add nothing to the plot , and thirdly I`m not sure if the film actually has a plot . Yeah things happen but many of these things don`t seem to lead to anything so why were they included ?
I noticed the second Harry Potter film didn`t perform as well as hoped which gives me hope that the next films in the franchise bomb big time . And I reckon Frodo Baggins could kick Harry Potter`s ass",10 June 2003,1,,
Nice,bevo-13678,Pretty decent movie but I think the book is better,31 March 2020,10,1,
Harry Potter is a bore!,jotix100,"I know I'm probably the only one that didn't care for this film, but I thought it was plain boring. The adaptation of the book is just OK and the acting is average. Frankly it's a pity to see all the great English actors in this film totally wasted and relegated to play second fiddle. The effects are very well done, but it's such a conventional treatment of the books that I kept checking my watch a few times to see when was it going to be over. It's very curious that hardly any of the young people in the audience didn't laugh at all. This Harry Potter is very heavy handed and it should have emphasized the fun and could have used a few lighter moments.
I was greatly disappointed given the hype in the media, which I'm sure has Ms. Rowling, Mr. Columbus and the rest of the people responsible for this mess laughing all the way to the bank!",28 November 2001,4,9,
"Lacks emotional warmth of ""ET""...a John Williams letdown...",Doylenf,,4 December 2001,0,,
REVIEWED IN 2020...SINGULARLY...APART FROM THE BOOK AND THE SEQUELS,LeonLouisRicci,"The Debut Movie that Flag-Shipped the Film-Series, that became a Phenom in Itself.
It was Hardly a Chance-Effort.
The Popular Books by Rowland had a Built-In Audience Salivating at the Prospect.
CGI had Evolved into a ""We Can Do Anything"" in SFX for the Asking and the Budget was Magical to say the Least.
Top-Notch Acting Talent Among the Adults, Coupled with Energetic and Charming Tweens Added the Finishing Touches on a Guaranteed Block-Buster.
Most Fans Reacted, Admitting it is Slavishly Faithful to the Books and the Scope of the Story is Made for an Audience from 6 to 60,
By most Accounts the Initial Movie was a Bona-Fide Success, Artistically and Commercially.
Outsiders, Newbies, and the Uniformed also seem to Warm Up to the Charming and sometimes Edgy Youth Material.
There were Rumblings from Evangelicals about ""Satan Worship"", Witchcraft Corrupting the Minds of the Impressionable.
But that is Expected and an Argument as Old as the Printed Word.
Kids Love it and most Adults went along for the Magical, Fantastic Ride that was On-Screen Fresh in 2001 and quite the Treat for Movie-Goers.
It's about as Inoffensive as this Type of Thing could be, and maybe went Too Far with its ""Play it Safe"" Attitude.
The Movie Leans Away from the Cutting-Edge and can be a bit Dull for those Expecting more Horrifying Elements.
It's a Wonderful Movie for the Whole Family and when its Initial Release Date Finally Arrived,
Everybody seemed to get in On the Fun.
Colorful, Fanciful, Mysterious, and Adventurous.
Some Scary Stuff, but Most of All a Celebration of Youthful Imagination and Wonder.
Note...Why did they change it to Sorcerer's Stone for Americans?"" ... It was changed by the American publisher, Scholastic, because it thought American children wouldn't want to read a book with ""philosopher"" in the title.",20 August 2021,8,,
"Long, but pretty good",preppy-3,"Adaptation of J.K. Rowling's very popular book is as good an adaptation as possible...but it doesn't completely work.
The big problem was they were afraid to cut anything out of the book (they'd have school children all around the world after them), so they try to put everything in and there's too much for one movie. Also it's a virtual word-by-word recitation of the book--if you've read the book, you've seen the movie. This doesn't allow director Chris Columbus any leeway to change things or add his own personal stamp (not that Columbus was ever an inventive director to begin with). So, it just ends up being the book visualized exactly as written.
The acting is so-so. The kids picked to play Harry, Ron Weasley and Hermione Granger are pretty good--not great, but certainly not bad. The adults vary wildly--Maggie Smith and Zoe Wanamaker (love her yellow eyes!) are just great as teachers at Hogwats...Alan Rickman, Richard Harris and Robbie Coltrane are horrible...they're REALLY not enjoying themselves. Also John Williams bombastic score is annoying.
Still, it looks great, moves fairly quickly and there's a fantastic sequence showing a Quidditch game. So, it's OK but nothing great. Maybe if Spielberg had directed it...",6 December 2001,7,,
What I say doesn't matter,dbborroughs,"I'm not a fan of the books. The ones I read seem like Roald Dahl wannabes. To me the books were young adult fiction that seems like young adult fiction.
This the, film version of the first book is actually pretty good, but suffers painfully from the fact that it attempts to get everything in the book on the screen. I am certain that the film would have been a classic had someone had the balls to reshape the novel into a movie instead of trying to make the movie into the novel.
If you want to see a good, but not great movie, and to get a faithful feeling for one of the most successful series of books ever made without having to days reading the books then by all means watch this, just expect frequent draggy spots.",10 April 2004,6,0,
"It does not do to dwell on dreams, Harry, and forget to live.",lastliberal,"I went back to look at the two Chris Columbus-directed Harry Potter movies. These were the one that were more light fantasy and enjoyable in that light.
Mr. Ollivander: Curious... very curious... Harry: Excuse me, sir, but what's curious? Mr. Ollivander: I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix whose tailfeather resides in your wand gave another... just one other. It is curious that you should be destined for this wand... when its brother gave you that scar. Harry: And who owned that wand? Mr. Ollivander: We do not speak his name! The wand chooses the wizard, Mr. Potter. It's not always clear why. But I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things. Terrible! Yes. But great.
This is the film that Harry discovers who he is. Others know more about him than he does. We are introduced to all the great characters that we have come to know and love: Daniel Radcliffe (with his clothes on), Rupert Grint, Emma Watson, Maggie Smith, Tom Felton, and Robbie Coltrane, in particular.
We see the spectacular art and set decorations, particularly in the Great hall by Stuart Craig (art director) and Stephanie McMillan (set decorator). Costune design by Judianna Makovsky and music by John Williams makes this a film to remember. The special effects were fantastic.
With close supervision by author J.K. Rowling and unprecedented approval of all aspects of the movie, we know we are going to get something that will not upset book fans, and we did.",26 July 2007,7,,
Surprisingly good,grantss,"Surprisingly good.
I haven't read the books, and have no intention of reading them, so didn't know what to expect. Mostly thought this was just for kids or nerds. In some respects, it is, but it turns out it had a decent plot, is well-directed and well acted.
Good fun.
Unfortunately, the remaining movies didn't come close to the first. Second was OK, but really didn't have the novelty of the first. The first created the template, the following just used it over and over.
From the third it was just for kids and nerds, as I initially suspected.",6 January 2015,7,1,
A decent start of the series but also clearly one of the lesser Harry Potter movies.,Boba_Fett1138,,6 June 2008,7,,
When Being Too Faithful to Source Material Is a Bad Thing,evanston_dad,"I read enough of the first ""Harry Potter"" book to know that Chris Columbus virtually recreated it scene by scene. However, I also read enough to know that what he put on screen was a plodding, overly literal adaptation that doesn't have an ounce of magic or creativity in it.
To be fair to Columbus, I don't really know what the alternative was. The fan base for ""Harry Potter"" wanted the experience of watching it to match exactly the experience of reading it, and would have revolted at any more daring cinematic vision. It always makes me wonder why people want to watch movies based on their favorite books in the first place -- just read the books instead.
Grade: B-",27 July 2010,5,1,
A Fantasy Film Suitable for the Entire Family,Uriah43,"Orphaned not long after his birth, ""Harry Potter"" (Daniel Radcliffe) is forced to live in the home of his only living relatives who treat him rather badly. That all changes one day when he is informed by a man named ""Rebeus Hagrid"" (Robbie Coltrane) that his parents were famous magicians and because of that he is invited to attend the Hogwarts School of Witchcraft and Wizardry. Needless to say, Harry accepts almost immediately and after Hagrid and he buy the necessary school equipment he begins his journey to the mystical academy. It's then that he meets two fellow students named ""Ron Weasley"" (Rupert Grint) and ""Hermione Granger"" (Emma Watson) who become his good friends and share in his triumphs and travails. Now rather than reveal any more I will just say that this film was based on the very successful book ""Harry Potter and the Philosopher's Stone"" by J.K. Rowling and from what I understand remains quite faithful to the book. At least for the most part. In any case, I found it to be a fine fantasy film with the interaction between Harry and his two friends especially entertaining. Admittedly, there are some slow parts here and there and it does run a bit long (152 minutes). Even so, despite the faults just mentioned, I believe this to be one of those rare movies which can be enjoyed by the entire family and I have rated it accordingly. Above average.",2 September 2017,7,,
HP1 revisited,neil-476,,26 November 2010,7,,
MUCH ADO ABOUT HARRY,george.schmidt,,30 November 2001,0,0,
There's nothing like the first,HotToastyRag,"There's nothing like the first in a series, is there? The introduction to the characters, the immersion into the fictional world, the first time you laugh, cry, care, and fear for someone's safety can never be repeated. No matter how many Harry Potter movies they crank out, or if they ever remake them in the future, none will come close to the wonderful first film, Harry Potter and the Sorcerer's Stone.
I'm sure everyone has their own childhood memories of reading the Harry Potter books that they'll tell their grandkids about, but I'll never forget going to see the first movie in the theaters. The lights dimmed, John Williams's perfect theme played its first notes as Richard Harris walked down Privet Drive, and everyone in the theater was transported to another world. John Williams's numerous themes, all wonderful and a personification of the wizarding world, took the early movies to another level. As other composers tried their hands at the later films, that quality was missing. There's something truly special about going to see this movie on the big screen, and while the ""magical"" qualities might not all be credited to the music, it's certainly one of them.
Welcome to the world of Harry Potter, where if you're a ten-year-old kid who doesn't fit in, you might get a letter delivered by an owl telling you you have magical powers and should go to a special school to hone them. Believe it or not, there are people who watch this movie without reading the books, so a bit of description is necessary. Obviously the stars of the show are the children, who were selected out of millions of other kids to be able to memorize lines, not look in the camera, endear themselves to worldwide audiences, and hopefully act. Daniel Radcliffe, Emma Watson, Rupert Grint, and Tom Felton are so cute and tiny in this first movie, you'll undoubtedly find yourself re-watching it as the years pass just to see them as kids again. I always marvel that child actors train themselves not to look in the camera, so even if their performances aren't perfect, I cut them slack, knowing firsthand how hard it is. And these kids had to dress in funny costumes, recite incantations without laughing, and pretend they're looking at things that were added in post production!
Usually, in kids' movies, there's a grown-up or two who add to the cast and make the adult audience members feel less silly that they're watching it. In the Harry Potter movies, everyone wanted to be in them! Throughout the series you'll see a host of familiar faces as ""guest stars"" but the regulars will make special places in your heart. Richard Harris, Maggie Smith, Alan Rickman, and Robbie Coltrane are household names for little kids, because they're so convincing as the kindhearted Dumbledore, the wizened but sentimental McGonagall, the endlessly mimicable Snape, and the jolly Hagrid, kids today can't imagine they've had any other career prior to these movies! Is there any kid who doesn't immediately attribute the word ""earwax"" to Richard Harris, point out striped cats as ""Maggie Smith cats"", mumble ""Shouldn't have said that,"" when they make a mistake, or practice putting pauses in their sentences like Alan Rickman?
First movies are so special, since they introduce audiences to a world that will hopefully capture their attention for however many more movies will be made. In J.K. Rowling's fantasy world, there's so much to fall in love with; and in the film adaptation you can really believe it exists. Seeing the Hogwarts structure for the first time creates a special feeling in your heart that can only be recaptured by watching the movie again or going to see the next in the series. The Great Hall, Quidditch, the Sorting Hat, talking portraits, flying lessons, selecting the perfect wand-all these Harry Potter moments are perfectly recreated in the first of a series that saw an entire generation grow up buying toy wands and trying Bertie Bott's Every Flavor Beans.
Each installment has its special moments, and this first one has quite a few, even outside of the exposition. If a three-headed dog doesn't immediately conjure the name ""Fluffy,"" chess pieces have never come to life in your imagination, you don't laugh at the idea of counting your birthday presents, and you don't know what Richard Harris wants most in the world, you're missing out on one of the great joys in life. If somehow 2001 passed you by without a trip to the movie theaters Thanksgiving weekend, go find yourself a copy of this iconic, lovely movie.",17 June 2019,10,,
Not a Bad Start.,anaconda-40658,,6 January 2016,6,,
Confessions of a Potter virgin,movieman_kev,,16 November 2004,0,,
"For the most part this film bored me, except for seeing all the British stars in it.",Aaron1375,"This to date is the only Harry Potter film I have sat through and watched from start to finish. I have seen bits and pieces of the others, but watching them I just feel the same thing that I did when I watched this one. In a word 'bored'. The only thing that kept me entertained was the scenery and seeing the many British A and B list stars. The most enjoyment I got out of the film is saying ""its the villain from Die Hard! he must be a bad guy!"", ""That's the dude who got messed up by Gene Hackman in Unforgiven!"", ""he was in a couple of Bond films!"", and you get the idea. The film features Harry Potter going to wizard school for the first time. His aunt and uncle keep him living in a closet so going to wizard school or heck math camp would be a nice change of pace for the kid. Well when he goes to school he makes friends quickly with this lass and red headed boy and these three would grow up into some very poorly photogenic to old for the roles adults. Seriously, they looked like they were stoned on the DVD cover of Deathly Hallows and all three just do not look like the type of people you put in movies. Well Harry quickly becomes adept at the sport of wizardry Quiditch which involves flying around on a broom and scoring points. I know, when I hear flying brooms I think witches and witchcraft, but this is wizard school cause that is what the author says! There is also a bit of a mystery to be solved and an ending that will become very familiar with those who enjoy this series. I did not care for this one and I never continued following Harry's adventures, I am not going to fault those who do, this set of films just was not for me and man they are going on to long. Heck, by the time they are all finished they will probably remake them all again two years later.",26-May-11,3,,
Geared for children and child like minds,mm-39,,29-May-02,7,,
